RI_ID,INGREDIENT_ID,RECIPE_ID,RECIPE_NAME
1,2,1,Spaghetti
2,4,1,Spaghetti
3,5,1,Spaghetti
4,1,2,Seasoned Chicken
5,3,2,Seasoned Chicken
6,6,2,Seasoned Chicken
7,7,2,Seasoned Chicken
8,6,3,Teriyaki Chicken
9,8,3,Teriyaki Chicken
10,9,3,Teriyaki Chicken
11,14,4,Chicken with Lemon and Olives
12,11,4,Chicken with Lemon and Olives
13,10,4,Chicken with Lemon and Olives
14,12,4,Chicken with Lemon and Olives
15,13,4,Chicken with Lemon and Olives
16,3,4,Chicken with Lemon and Olives
17,15,5,Cheese Quesadilla
18,16,5,Cheese Quesadilla
19,17,6,Chicken Quesadilla
20,16,6,Chicken Quesadilla
21,15,6,Chicken Quesadilla
22,20,7,Beef Kabob with Lime
23,18,7,Beef Kabob with Lime
24,19,7,Beef Kabob with Lime
25,21,7,Beef Kabob with Lime
26,22,7,Beef Kabob with Lime
27,10,7,Beef Kabob with Lime
28,11,7,Beef Kabob with Lime
29,23,8,Quick and Easy Lasagna
30,24,8,Quick and Easy Lasagna
31,16,8,Quick and Easy Lasagna
32,4,8,Quick and Easy Lasagna
33,26,9,Mac n Cheese
34,25,9,Mac n Cheese
35,27,9,Mac n Cheese
36,28,9,Mac n Cheese
37,16,9,Mac n Cheese
38,10,9,Mac n Cheese
39,1,9,Mac n Cheese
40,29,10,Easy Tacos
41,30,10,Easy Tacos
42,31,10,Easy Tacos
43,32,10,Easy Tacos
44,16,10,Easy Tacos
45,2,10,Easy Tacos
46,,,
47,,,
48,,,
49,,,
